ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-05-26,63.79747320009224,68.03845070027818,98.16091096564826,63.79747320009224,63.79747320009224,7.432788296342732e-05,7.432788296342732e-05,7.432788296342732e-05,0.2914948519320342,0.2914948519320342,0.2914948519320342,0.0011716192414552434,0.0011716192414552434,0.0011716192414552434,0.2902489048076155,0.2902489048076155,0.2902489048076155,0.0,0.0,0.0,82.39410820419104
2023-05-27,63.79600246271122,92.2728291284104,122.33191378645033,63.79600246271122,63.79600246271122,0.0029957548308534587,0.0029957548308534587,0.0029957548308534587,0.675064397897718,0.675064397897718,0.675064397897718,0.38005397661762785,0.38005397661762785,0.38005397661762785,0.2920146664492366,0.2920146664492366,0.2920146664492366,0.0,0.0,0.0,106.8624124534827
2023-05-28,63.79453172533021,47.70832324937973,76.03712883485805,63.79453172533021,63.79453172533021,-0.0032260395776543757,-0.0032260395776543757,-0.0032260395776543757,-0.02692436600362047,-0.02692436600362047,-0.02692436600362047,-0.31653368644366,-0.31653368644366,-0.31653368644366,0.2928353600176939,0.2928353600176939,0.2928353600176939,0.0,0.0,0.0,62.07690440412784
2023-05-29,63.79306098794918,66.09313107207198,95.75802325136134,63.79306098794918,63.79306098794918,-0.011933198031249419,-0.011933198031249419,-0.011933198031249419,0.26710350089446205,0.26710350089446205,0.26710350089446205,-0.013663688641132335,-0.013663688641132335,-0.013663688641132335,0.29270038756684374,0.29270038756684374,0.29270038756684374,0.0,0.0,0.0,80.83241091060434
2023-05-30,63.79159025056817,65.20719705038036,96.12326428170414,63.79159025056817,63.79159025056817,-0.012479110096789852,-0.012479110096789852,-0.012479110096789852,0.26798458817921605,0.26798458817921605,0.26798458817921605,-0.01116621852127829,-0.01116621852127829,-0.01116621852127829,0.2916299167972842,0.2916299167972842,0.2916299167972842,0.0,0.0,0.0,80.88675329316398
2023-05-31,63.79011951318715,66.32709938309279,95.4708187690614,63.79011951318715,63.79011951318715,0.0008286798841469767,0.0008286798841469767,0.0008286798841469767,0.2675819202317519,0.2675819202317519,0.2675819202317519,-0.0229205022519319,-0.0229205022519319,-0.0229205022519319,0.28967374259953677,0.28967374259953677,0.28967374259953677,0.0,0.0,0.0,80.85920218433871
2023-06-01,63.78864877580613,67.89353919552332,97.64968888010645,63.78864877580613,63.78864877580613,0.022812718378445968,0.022812718378445968,0.022812718378445968,0.2927804748461779,0.2927804748461779,0.2927804748461779,-0.01694150000067552,-0.01694150000067552,-0.01694150000067552,0.2869092564684074,0.2869092564684074,0.2869092564684074,0.0,0.0,0.0,82.46471965418272
2023-06-02,63.78717803842512,70.12986142267513,98.68579875252556,63.78717803842512,63.78717803842512,0.04025819321464098,0.04025819321464098,0.04025819321464098,0.3248684090097716,0.3248684090097716,0.3248684090097716,0.001171619241465513,0.001171619241465513,0.001171619241465513,0.2834385965536651,0.2834385965536651,0.2834385965536651,0.0,0.0,0.0,84.50961708299133
2023-06-03,63.7857073010441,93.7395371569837,123.90991418839285,63.7857073010441,63.7857073010441,0.04189158951421825,0.04189158951421825,0.04189158951421825,0.7013306413065059,0.7013306413065059,0.7013306413065059,0.3800539766175226,0.3800539766175226,0.3800539766175226,0.2793850751747651,0.2793850751747651,0.2793850751747651,0.0,0.0,0.0,108.52057830867443
2023-06-04,63.784236563663086,48.22964735521475,77.90134259919776,63.784236563663086,63.784236563663086,0.027431544102531333,0.027431544102531333,0.027431544102531333,-0.014213140788676748,-0.014213140788676748,-0.014213140788676748,-0.3165336864441301,-0.3165336864441301,-0.3165336864441301,0.2748890015529221,0.2748890015529221,0.2748890015529221,0.0,0.0,0.0,62.87766222928548
2023-06-05,63.78276582628206,65.28886311818938,96.44535866335637,63.78276582628206,63.78276582628206,0.00799343032937034,0.00799343032937034,0.00799343032937034,0.26443277639445123,0.26443277639445123,0.26443277639445123,-0.013663688641182656,-0.013663688641182656,-0.013663688641182656,0.27010303470626346,0.27010303470626346,0.27010303470626346,0.0,0.0,0.0,80.64901967984295
2023-06-06,63.78129508890105,65.23564480719476,94.33414201706213,63.78129508890105,63.78129508890105,-0.002693524996409501,-0.002693524996409501,-0.002693524996409501,0.2513274708985216,0.2513274708985216,0.2513274708985216,-0.011166218522171853,-0.011166218522171853,-0.011166218522171853,0.26518721441710297,0.26518721441710297,0.26518721441710297,0.0,0.0,0.0,79.81128667422684
2023-06-07,63.77982435152002,63.434997241952914,94.0940992827178,63.77982435152002,63.77982435152002,0.001004095037594322,0.001004095037594322,0.001004095037594322,0.23838741934448257,0.23838741934448257,0.23838741934448257,-0.022920502252397813,-0.022920502252397813,-0.022920502252397813,0.260303826559286,0.260303826559286,0.260303826559286,0.0,0.0,0.0,78.98413208492326
2023-06-08,63.77835361413901,63.280654986698586,94.96275751790355,63.77835361413901,63.77835361413901,0.012808024590098749,0.012808024590098749,0.012808024590098749,0.2514787872416789,0.2514787872416789,0.2514787872416789,-0.016941499999083114,-0.016941499999083114,-0.016941499999083114,0.2556122626506632,0.2556122626506632,0.2556122626506632,0.0,0.0,0.0,79.81725663329362
2023-06-09,63.77688287675799,66.5241294382233,95.83067336933524,63.77688287675799,63.77688287675799,0.020420861956205856,0.020420861956205856,0.020420861956205856,0.2728565133907844,0.2728565133907844,0.2728565133907844,0.0011716192414757964,0.0011716192414757964,0.0011716192414757964,0.2512640321931027,0.2512640321931027,0.2512640321931027,0.0,0.0,0.0,81.1788207734426
2023-06-10,63.775412139376975,91.348571214862,120.68958508716145,63.775412139376975,63.775412139376975,0.01575210394625423,0.01575210394625423,0.01575210394625423,0.6432041608205887,0.6432041608205887,0.6432041608205887,0.38005397661714935,0.38005397661714935,0.38005397661714935,0.2473980802571851,0.2473980802571851,0.2473980802571851,0.0,0.0,0.0,104.79602258547213
2023-06-11,63.77394140199595,44.83247017043901,74.54964352287647,63.77394140199595,63.77394140199595,0.0008814289413557287,0.0008814289413557287,0.0008814289413557287,-0.07151570542825131,-0.07151570542825131,-0.07151570542825131,-0.3165336864431408,-0.3165336864431408,-0.3165336864431408,0.2441365520735338,0.2441365520735338,0.2441365520735338,0.0,0.0,0.0,59.21310299469224
2023-06-12,63.772470664614936,61.708667236904446,91.18074202358513,63.772470664614936,63.772470664614936,-0.014597833999989727,-0.014597833999989727,-0.014597833999989727,0.21331960882521933,0.21331960882521933,0.21331960882521933,-0.013663688640339247,-0.013663688640339247,-0.013663688640339247,0.24158113146554833,0.24158113146554833,0.24158113146554833,0.0,0.0,0.0,77.37638916060837
2023-06-13,63.77099992723392,61.22774222618334,91.876494953491,63.77099992723392,63.77099992723392,-0.021690910628007827,-0.021690910628007827,-0.021690910628007827,0.20695293212439786,0.20695293212439786,0.20695293212439786,-0.011166218521802204,-0.011166218521802204,-0.011166218521802204,0.2398100612742079,0.2398100612742079,0.2398100612742079,0.0,0.0,0.0,76.96859534667975
2023-06-14,63.769529189852896,61.344735448248144,90.23673490480382,63.769529189852896,63.769529189852896,-0.018354175230219802,-0.018354175230219802,-0.018354175230219802,0.19760125459249506,0.19760125459249506,0.19760125459249506,-0.02292050225286371,-0.02292050225286371,-0.02292050225286371,0.2388759320755786,0.2388759320755786,0.2388759320755786,0.0,0.0,0.0,76.37046816254056
2023-06-15,63.768058452471884,62.35506505436134,92.53766168662608,63.768058452471884,63.768058452471884,-0.009415709067656885,-0.009415709067656885,-0.009415709067656885,0.21244709208985366,0.21244709208985366,0.21244709208985366,-0.01694149999994663,-0.01694149999994663,-0.01694149999994663,0.23880430115745716,0.23880430115745716,0.23880430115745716,0.0,0.0,0.0,77.31539703891535
2023-06-16,63.766587715090864,63.771243139642,94.3625764070487,63.766587715090864,63.766587715090864,-0.001511442106634414,-0.001511442106634414,-0.001511442106634414,0.23925335478895154,0.23925335478895154,0.23925335478895154,0.0011716192403886244,0.0011716192403886244,0.0011716192403886244,0.23959317765519736,0.23959317765519736,0.23959317765519736,0.0,0.0,0.0,79.02295774937029
2023-06-17,63.76511697770984,88.40057117427384,117.83752840989914,63.76511697770984,63.76511697770984,0.00169388975438323,0.00169388975438323,0.00169388975438323,0.6229612491220711,0.6229612491220711,0.6229612491220711,0.3800539766167761,0.3800539766167761,0.3800539766167761,0.2412133827509117,0.2412133827509117,0.2412133827509117,0.0,0.0,0.0,103.48831390055894
2023-06-18,63.76364623623848,44.96386739855781,74.73661965621892,63.76364623623848,63.76364623623848,0.0002788422070618482,0.0002788422070618482,0.0002788422070618482,-0.0726450774969565,-0.0726450774969565,-0.0726450774969565,-0.3165336864432637,-0.3165336864432637,-0.3165336864432637,0.2436097667392453,0.2436097667392453,0.2436097667392453,0.0,0.0,0.0,59.131531213918414
